100050 silly lifecycle connect@3.5.0~preinstall: no script for preinstall, continuing
105075 verbose linkBins strip-bom@2.0.0
105076 verbose linkMans strip-bom@2.0.0
105077 silly build load-json-file@1.1.0
105078 info linkStuff load-json-file@1.1.0
105079 silly linkStuff load-json-file@1.1.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105080 verbose linkBins load-json-file@1.1.0
105081 verbose linkMans load-json-file@1.1.0
105082 silly build strip-bom-stream@1.0.0
105083 info linkStuff strip-bom-stream@1.0.0
105084 silly linkStuff strip-bom-stream@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105085 verbose linkBins strip-bom-stream@1.0.0
105086 verbose linkMans strip-bom-stream@1.0.0
105087 silly build is-relative@0.1.3
105088 info linkStuff is-relative@0.1.3
105089 silly linkStuff is-relative@0.1.3 has E:\WebstormProject\book-forum-yo\node_modules\strip-dirs\node_modules as its parent node_modules
105090 verbose linkBins is-relative@0.1.3
105091 verbose linkMans is-relative@0.1.3
105092 silly build is-absolute@0.1.7
105093 info linkStuff is-absolute@0.1.7
105094 silly linkStuff is-absolute@0.1.7 has E:\WebstormProject\book-forum-yo\node_modules\strip-dirs\node_modules as its parent node_modules
105095 verbose linkBins is-absolute@0.1.7
105096 verbose linkMans is-absolute@0.1.7
105097 silly build strip-indent@1.0.1
105098 info linkStuff strip-indent@1.0.1
105099 silly linkStuff strip-indent@1.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105100 verbose linkBins strip-indent@1.0.1
105101 verbose link bins [ { 'strip-indent': 'cli.js' },
105101 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\.bin',
105101 verbose link bins   false ]
105102 verbose linkMans strip-indent@1.0.1
105103 silly build redent@1.0.0
105104 info linkStuff redent@1.0.0
105105 silly linkStuff redent@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105106 verbose linkBins redent@1.0.0
105107 verbose linkMans redent@1.0.0
105108 silly build strip-json-comments@1.0.4
105109 info linkStuff strip-json-comments@1.0.4
105110 silly linkStuff strip-json-comments@1.0.4 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105111 verbose linkBins strip-json-comments@1.0.4
105112 verbose link bins [ { 'strip-json-comments': 'cli.js' },
105112 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\.bin',
105112 verbose link bins   false ]
105113 verbose linkMans strip-json-comments@1.0.4
105114 silly build rc@1.1.6
105115 info linkStuff rc@1.1.6
105116 silly linkStuff rc@1.1.6 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105117 verbose linkBins rc@1.1.6
105118 verbose link bins [ { rc: './index.js' },
105118 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\.bin',
105118 verbose link bins   false ]
105119 verbose linkMans rc@1.1.6
105120 silly build get-proxy@1.1.0
105121 info linkStuff get-proxy@1.1.0
105122 silly linkStuff get-proxy@1.1.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105123 verbose linkBins get-proxy@1.1.0
105124 verbose linkMans get-proxy@1.1.0
105125 silly build strip-outer@1.0.0
105126 info linkStuff strip-outer@1.0.0
105127 silly linkStuff strip-outer@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105128 verbose linkBins strip-outer@1.0.0
105129 verbose linkMans strip-outer@1.0.0
105130 silly build sugar@1.5.0
105131 info linkStuff sugar@1.5.0
105132 silly linkStuff sugar@1.5.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105133 verbose linkBins sugar@1.5.0
105134 verbose linkMans sugar@1.5.0
105135 silly build ng-dependencies@0.1.3
105136 info linkStuff ng-dependencies@0.1.3
105137 silly linkStuff ng-dependencies@0.1.3 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105138 verbose linkBins ng-dependencies@0.1.3
105139 verbose linkMans ng-dependencies@0.1.3
105140 silly build supports-color@2.0.0
105141 info linkStuff supports-color@2.0.0
105142 silly linkStuff supports-color@2.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105143 verbose linkBins supports-color@2.0.0
105144 verbose linkMans supports-color@2.0.0
105145 silly build chalk@1.1.3
105146 info linkStuff chalk@1.1.3
105147 silly linkStuff chalk@1.1.3 has E:\WebstormProject\book-forum-yo\node_modules\clap\node_modules as its parent node_modules
105148 verbose linkBins chalk@1.1.3
105149 verbose linkMans chalk@1.1.3
105150 silly build clap@1.1.1
105151 info linkStuff clap@1.1.1
105152 silly linkStuff clap@1.1.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105153 verbose linkBins clap@1.1.1
105154 verbose linkMans clap@1.1.1
105155 silly build chalk@1.1.3
105156 info linkStuff chalk@1.1.3
105157 silly linkStuff chalk@1.1.3 has E:\WebstormProject\book-forum-yo\node_modules\fancy-log\node_modules as its parent node_modules
105158 verbose linkBins chalk@1.1.3
105159 verbose linkMans chalk@1.1.3
105160 silly build chalk@1.1.3
105161 info linkStuff chalk@1.1.3
105162 silly linkStuff chalk@1.1.3 has E:\WebstormProject\book-forum-yo\node_modules\gulp-util\node_modules as its parent node_modules
105163 verbose linkBins chalk@1.1.3
105164 verbose linkMans chalk@1.1.3
105165 silly build chalk@1.1.3
105166 info linkStuff chalk@1.1.3
105167 silly linkStuff chalk@1.1.3 has E:\WebstormProject\book-forum-yo\node_modules\har-validator\node_modules as its parent node_modules
105168 verbose linkBins chalk@1.1.3
105169 verbose linkMans chalk@1.1.3
105170 silly build chalk@1.1.3
105171 info linkStuff chalk@1.1.3
105172 silly linkStuff chalk@1.1.3 has E:\WebstormProject\book-forum-yo\node_modules\jshint-stylish\node_modules as its parent node_modules
105173 verbose linkBins chalk@1.1.3
105174 verbose linkMans chalk@1.1.3
105175 silly build chalk@1.1.3
105176 info linkStuff chalk@1.1.3
105177 silly linkStuff chalk@1.1.3 has E:\WebstormProject\book-forum-yo\node_modules\log-symbols\node_modules as its parent node_modules
105178 verbose linkBins chalk@1.1.3
105179 verbose linkMans chalk@1.1.3
105180 silly build log-symbols@1.0.2
105181 info linkStuff log-symbols@1.0.2
105182 silly linkStuff log-symbols@1.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105183 verbose linkBins log-symbols@1.0.2
105184 verbose linkMans log-symbols@1.0.2
105185 silly build chalk@1.1.3
105186 info linkStuff chalk@1.1.3
105187 silly linkStuff chalk@1.1.3 has E:\WebstormProject\book-forum-yo\node_modules\squeak\node_modules as its parent node_modules
105188 verbose linkBins chalk@1.1.3
105189 verbose linkMans chalk@1.1.3
105190 silly build chalk@1.1.3
105191 info linkStuff chalk@1.1.3
105192 silly linkStuff chalk@1.1.3 has E:\WebstormProject\book-forum-yo\node_modules\strip-dirs\node_modules as its parent node_modules
105193 verbose linkBins chalk@1.1.3
105194 verbose linkMans chalk@1.1.3
105195 silly build chalk@1.1.3
105196 info linkStuff chalk@1.1.3
105197 silly linkStuff chalk@1.1.3 has E:\WebstormProject\book-forum-yo\node_modules\sum-up\node_modules as its parent node_modules
105198 verbose linkBins chalk@1.1.3
105199 verbose linkMans chalk@1.1.3
105200 silly build sum-up@1.0.3
105201 info linkStuff sum-up@1.0.3
105202 silly linkStuff sum-up@1.0.3 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105203 verbose linkBins sum-up@1.0.3
105204 verbose linkMans sum-up@1.0.3
105205 silly build strip-dirs@1.1.1
105206 info linkStuff strip-dirs@1.1.1
105207 silly linkStuff strip-dirs@1.1.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105208 verbose linkBins strip-dirs@1.1.1
105209 verbose link bins [ { 'strip-dirs': 'cli.js' },
105209 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\.bin',
105209 verbose link bins   false ]
105210 verbose linkMans strip-dirs@1.1.1
105211 silly build csso@2.0.0
105212 info linkStuff csso@2.0.0
105213 silly linkStuff csso@2.0.0 has E:\WebstormProject\book-forum-yo\node_modules\svgo\node_modules as its parent node_modules
105214 verbose linkBins csso@2.0.0
105215 verbose link bins [ { csso: './bin/csso' },
105215 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\svgo\\node_modules\\.bin',
105215 verbose link bins   false ]
105216 verbose linkMans csso@2.0.0
105217 silly build text-hex@0.0.0
105218 info linkStuff text-hex@0.0.0
105219 silly linkStuff text-hex@0.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105220 verbose linkBins text-hex@0.0.0
105221 verbose linkMans text-hex@0.0.0
105222 silly build colorspace@1.0.1
105223 info linkStuff colorspace@1.0.1
105224 silly linkStuff colorspace@1.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105225 verbose linkBins colorspace@1.0.1
105226 verbose linkMans colorspace@1.0.1
105227 silly build diagnostics@1.0.1
105228 info linkStuff diagnostics@1.0.1
105229 silly linkStuff diagnostics@1.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105230 verbose linkBins diagnostics@1.0.1
105231 verbose linkMans diagnostics@1.0.1
105232 silly build text-table@0.2.0
105233 info linkStuff text-table@0.2.0
105234 silly linkStuff text-table@0.2.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105235 verbose linkBins text-table@0.2.0
105236 verbose linkMans text-table@0.2.0
105237 silly build textextensions@1.0.2
105238 info linkStuff textextensions@1.0.2
105239 silly linkStuff textextensions@1.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105240 verbose linkBins textextensions@1.0.2
105241 verbose linkMans textextensions@1.0.2
105242 silly build istextorbinary@1.0.2
105243 info linkStuff istextorbinary@1.0.2
105244 silly linkStuff istextorbinary@1.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105245 verbose linkBins istextorbinary@1.0.2
105246 verbose linkMans istextorbinary@1.0.2
105247 silly build chalk@1.1.3
105248 info linkStuff chalk@1.1.3
105249 silly linkStuff chalk@1.1.3 has E:\WebstormProject\book-forum-yo\node_modules\tfunk\node_modules as its parent node_modules
105250 verbose linkBins chalk@1.1.3
105251 verbose linkMans chalk@1.1.3
105252 silly build object-path@0.9.2
105253 info linkStuff object-path@0.9.2
105254 silly linkStuff object-path@0.9.2 has E:\WebstormProject\book-forum-yo\node_modules\tfunk\node_modules as its parent node_modules
105255 verbose linkBins object-path@0.9.2
105256 verbose linkMans object-path@0.9.2
105257 silly build tfunk@3.0.2
105258 info linkStuff tfunk@3.0.2
105259 silly linkStuff tfunk@3.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105260 verbose linkBins tfunk@3.0.2
105261 verbose linkMans tfunk@3.0.2
105262 silly build eazy-logger@2.1.3
105263 info linkStuff eazy-logger@2.1.3
105264 silly linkStuff eazy-logger@2.1.3 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105265 verbose linkBins eazy-logger@2.1.3
105266 verbose linkMans eazy-logger@2.1.3
105267 silly build throttleit@1.0.0
105268 info linkStuff throttleit@1.0.0
105269 silly linkStuff throttleit@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105270 verbose linkBins throttleit@1.0.0
105271 verbose linkMans throttleit@1.0.0
105272 silly build request-progress@2.0.1
105273 info linkStuff request-progress@2.0.1
105274 silly linkStuff request-progress@2.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105275 verbose linkBins request-progress@2.0.1
105276 verbose linkMans request-progress@2.0.1
105277 silly build through@2.3.8
105278 info linkStuff through@2.3.8
105279 silly linkStuff through@2.3.8 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105280 verbose linkBins through@2.3.8
105281 verbose linkMans through@2.3.8
105282 silly build split@0.2.10
105283 info linkStuff split@0.2.10
105284 silly linkStuff split@0.2.10 has E:\WebstormProject\book-forum-yo\node_modules\gulp-karma\node_modules as its parent node_modules
105285 verbose linkBins split@0.2.10
105286 verbose linkMans split@0.2.10
105287 silly build pause-stream@0.0.11
105288 info linkStuff pause-stream@0.0.11
105289 silly linkStuff pause-stream@0.0.11 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105290 verbose linkBins pause-stream@0.0.11
105291 verbose linkMans pause-stream@0.0.11
105292 silly build event-stream@3.0.20
105293 info linkStuff event-stream@3.0.20
105294 silly linkStuff event-stream@3.0.20 has E:\WebstormProject\book-forum-yo\node_modules\gulp-karma\node_modules as its parent node_modules
105295 verbose linkBins event-stream@3.0.20
105296 verbose linkMans event-stream@3.0.20
105297 silly build split@0.3.3
105298 info linkStuff split@0.3.3
105299 silly linkStuff split@0.3.3 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105300 verbose linkBins split@0.3.3
105301 verbose linkMans split@0.3.3
105302 silly build event-stream@3.3.4
105303 info linkStuff event-stream@3.3.4
105304 silly linkStuff event-stream@3.3.4 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105305 verbose linkBins event-stream@3.3.4
105306 verbose linkMans event-stream@3.3.4
105307 silly build inherits@2.0.3
105308 info linkStuff inherits@2.0.3
105309 silly linkStuff inherits@2.0.3 has E:\WebstormProject\book-forum-yo\node_modules\through2-concurrent\node_modules as its parent node_modules
105310 verbose linkBins inherits@2.0.3
105311 verbose linkMans inherits@2.0.3
105312 silly build isarray@0.0.1
105313 info linkStuff isarray@0.0.1
105314 silly linkStuff isarray@0.0.1 has E:\WebstormProject\book-forum-yo\node_modules\through2-concurrent\node_modules as its parent node_modules
105315 verbose linkBins isarray@0.0.1
105316 verbose linkMans isarray@0.0.1
105317 silly build readable-stream@1.0.34
105318 info linkStuff readable-stream@1.0.34
105319 silly linkStuff readable-stream@1.0.34 has E:\WebstormProject\book-forum-yo\node_modules\through2-concurrent\node_modules as its parent node_modules
105320 verbose linkBins readable-stream@1.0.34
105321 verbose linkMans readable-stream@1.0.34
105322 silly build tildify@1.2.0
105323 info linkStuff tildify@1.2.0
105324 silly linkStuff tildify@1.2.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105325 verbose linkBins tildify@1.2.0
105326 verbose linkMans tildify@1.2.0
105327 silly build time-stamp@1.0.1
105328 info linkStuff time-stamp@1.0.1
105329 silly linkStuff time-stamp@1.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105330 verbose linkBins time-stamp@1.0.1
105331 verbose linkMans time-stamp@1.0.1
105332 silly build fancy-log@1.2.0
105333 info linkStuff fancy-log@1.2.0
105334 silly linkStuff fancy-log@1.2.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105335 verbose linkBins fancy-log@1.2.0
105336 verbose linkMans fancy-log@1.2.0
105337 silly build timed-out@2.0.0
105338 info linkStuff timed-out@2.0.0
105339 silly linkStuff timed-out@2.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105340 verbose linkBins timed-out@2.0.0
105341 verbose linkMans timed-out@2.0.0
105342 silly build timers-ext@0.1.0
105343 info linkStuff timers-ext@0.1.0
105344 silly linkStuff timers-ext@0.1.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105345 verbose linkBins timers-ext@0.1.0
105346 verbose linkMans timers-ext@0.1.0
105347 silly build memoizee@0.3.10
105348 info linkStuff memoizee@0.3.10
105349 silly linkStuff memoizee@0.3.10 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105350 verbose linkBins memoizee@0.3.10
105351 verbose linkMans memoizee@0.3.10
105352 silly build cli-color@1.1.0
105353 info linkStuff cli-color@1.1.0
105354 silly linkStuff cli-color@1.1.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105355 verbose linkBins cli-color@1.1.0
105356 verbose linkMans cli-color@1.1.0
105357 silly build tmp@0.0.24
105358 info linkStuff tmp@0.0.24
105359 silly linkStuff tmp@0.0.24 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105360 verbose linkBins tmp@0.0.24
105361 verbose linkMans tmp@0.0.24
105362 silly build to-absolute-glob@0.1.1
105363 info linkStuff to-absolute-glob@0.1.1
105364 silly linkStuff to-absolute-glob@0.1.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105365 verbose linkBins to-absolute-glob@0.1.1
105366 verbose linkMans to-absolute-glob@0.1.1
105367 silly build to-array@0.1.4
105368 info linkStuff to-array@0.1.4
105369 silly linkStuff to-array@0.1.4 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105370 verbose linkBins to-array@0.1.4
105371 verbose linkMans to-array@0.1.4
105372 silly build toposort@0.2.12
105373 info linkStuff toposort@0.2.12
105374 silly linkStuff toposort@0.2.12 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105375 verbose linkBins toposort@0.2.12
105376 verbose linkMans toposort@0.2.12
105377 silly build tough-cookie@2.2.2
105378 info linkStuff tough-cookie@2.2.2
105379 silly linkStuff tough-cookie@2.2.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105380 verbose linkBins tough-cookie@2.2.2
105381 verbose linkMans tough-cookie@2.2.2
105382 silly build source-map@0.1.43
105383 info linkStuff source-map@0.1.43
105384 silly linkStuff source-map@0.1.43 has E:\WebstormProject\book-forum-yo\node_modules\transformers\node_modules as its parent node_modules
105385 verbose linkBins source-map@0.1.43
105386 verbose linkMans source-map@0.1.43
105387 silly build trim-newlines@1.0.0
105388 info linkStuff trim-newlines@1.0.0
105389 silly linkStuff trim-newlines@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105390 verbose linkBins trim-newlines@1.0.0
105391 verbose linkMans trim-newlines@1.0.0
105392 silly build trim-repeated@1.0.0
105393 info linkStuff trim-repeated@1.0.0
105394 silly linkStuff trim-repeated@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105395 verbose linkBins trim-repeated@1.0.0
105396 verbose linkMans trim-repeated@1.0.0
105397 silly build filenamify@1.2.1
105398 info linkStuff filenamify@1.2.1
105399 silly linkStuff filenamify@1.2.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105400 verbose linkBins filenamify@1.2.1
105401 verbose linkMans filenamify@1.2.1
105402 silly build tryor@0.1.2
105403 info linkStuff tryor@0.1.2
105404 silly linkStuff tryor@0.1.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105405 verbose linkBins tryor@0.1.2
105406 verbose linkMans tryor@0.1.2
105407 silly build tunnel-agent@0.4.3
105408 info linkStuff tunnel-agent@0.4.3
105409 silly linkStuff tunnel-agent@0.4.3 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105410 verbose linkBins tunnel-agent@0.4.3
105411 verbose linkMans tunnel-agent@0.4.3
105412 silly build caw@1.2.0
105413 info linkStuff caw@1.2.0
105414 silly linkStuff caw@1.2.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105415 verbose linkBins caw@1.2.0
105416 verbose linkMans caw@1.2.0
105417 silly build request@2.36.0
105418 info linkStuff request@2.36.0
105419 silly linkStuff request@2.36.0 has E:\WebstormProject\book-forum-yo\node_modules\protractor\node_modules as its parent node_modules
105420 verbose linkBins request@2.36.0
105421 verbose linkMans request@2.36.0
105422 silly build tweetnacl@0.13.3
105423 info linkStuff tweetnacl@0.13.3
105424 silly linkStuff tweetnacl@0.13.3 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105425 verbose linkBins tweetnacl@0.13.3
105426 verbose linkMans tweetnacl@0.13.3
105427 silly build sshpk@1.10.0
105428 info linkStuff sshpk@1.10.0
105429 silly linkStuff sshpk@1.10.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105430 verbose linkBins sshpk@1.10.0
105431 verbose link bins [ { 'sshpk-conv': 'bin/sshpk-conv',
105431 verbose link bins     'sshpk-sign': 'bin/sshpk-sign',
105431 verbose link bins     'sshpk-verify': 'bin/sshpk-verify' },
105431 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\.bin',
105431 verbose link bins   false ]
105432 verbose linkMans sshpk@1.10.0
105433 silly build typedarray@0.0.6
105434 info linkStuff typedarray@0.0.6
105435 silly linkStuff typedarray@0.0.6 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105436 verbose linkBins typedarray@0.0.6
105437 verbose linkMans typedarray@0.0.6
105438 silly build ua-parser-js@0.7.10
105439 info linkStuff ua-parser-js@0.7.10
105440 silly linkStuff ua-parser-js@0.7.10 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105441 verbose linkBins ua-parser-js@0.7.10
105442 verbose linkMans ua-parser-js@0.7.10
105443 silly build async@0.2.10
105444 info linkStuff async@0.2.10
105445 silly linkStuff async@0.2.10 has E:\WebstormProject\book-forum-yo\node_modules\uglify-js\node_modules as its parent node_modules
105446 verbose linkBins async@0.2.10
105447 verbose linkMans async@0.2.10
105448 silly build source-map@0.1.34
105449 info linkStuff source-map@0.1.34
105450 silly linkStuff source-map@0.1.34 has E:\WebstormProject\book-forum-yo\node_modules\uglify-js\node_modules as its parent node_modules
105451 verbose linkBins source-map@0.1.34
105452 verbose linkMans source-map@0.1.34
105453 silly build uglify-to-browserify@1.0.2
105454 info linkStuff uglify-to-browserify@1.0.2
105455 silly linkStuff uglify-to-browserify@1.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105456 verbose linkBins uglify-to-browserify@1.0.2
105457 verbose linkMans uglify-to-browserify@1.0.2
105458 silly build ultron@1.0.2
105459 info linkStuff ultron@1.0.2
105460 silly linkStuff ultron@1.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105461 verbose linkBins ultron@1.0.2
105462 verbose linkMans ultron@1.0.2
105463 silly build ws@1.0.1
105464 info linkStuff ws@1.0.1
105465 silly linkStuff ws@1.0.1 has E:\WebstormProject\book-forum-yo\node_modules\engine.io-client\node_modules as its parent node_modules
105466 verbose linkBins ws@1.0.1
105467 verbose linkMans ws@1.0.1
105468 silly build unc-path-regex@0.1.2
105469 info linkStuff unc-path-regex@0.1.2
105470 silly linkStuff unc-path-regex@0.1.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105471 verbose linkBins unc-path-regex@0.1.2
105472 verbose linkMans unc-path-regex@0.1.2
105473 silly build is-unc-path@0.1.1
105474 info linkStuff is-unc-path@0.1.1
105475 silly linkStuff is-unc-path@0.1.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105476 verbose linkBins is-unc-path@0.1.1
105477 verbose linkMans is-unc-path@0.1.1
105478 silly build is-relative@0.2.1
105479 info linkStuff is-relative@0.2.1
105480 silly linkStuff is-relative@0.2.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105481 verbose linkBins is-relative@0.2.1
105482 verbose linkMans is-relative@0.2.1
105483 silly build is-absolute@0.2.5
105484 info linkStuff is-absolute@0.2.5
105485 silly linkStuff is-absolute@0.2.5 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105486 verbose linkBins is-absolute@0.2.5
105487 verbose linkMans is-absolute@0.2.5
105488 silly build parse-filepath@1.0.1
105489 info linkStuff parse-filepath@1.0.1
105490 silly linkStuff parse-filepath@1.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105491 verbose linkBins parse-filepath@1.0.1
105492 verbose linkMans parse-filepath@1.0.1
105493 silly build fined@1.0.1
105494 info linkStuff fined@1.0.1
105495 silly linkStuff fined@1.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105496 verbose linkBins fined@1.0.1
105497 verbose linkMans fined@1.0.1
105498 silly build unique-stream@1.0.0
105499 info linkStuff unique-stream@1.0.0
105500 silly linkStuff unique-stream@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105501 verbose linkBins unique-stream@1.0.0
105502 verbose linkMans unique-stream@1.0.0
105503 silly build unpipe@1.0.0
105504 info linkStuff unpipe@1.0.0
105505 silly linkStuff unpipe@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105506 verbose linkBins unpipe@1.0.0
105507 verbose linkMans unpipe@1.0.0
105508 silly build finalhandler@0.5.0
105509 info linkStuff finalhandler@0.5.0
105510 silly linkStuff finalhandler@0.5.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105511 verbose linkBins finalhandler@0.5.0
105512 verbose linkMans finalhandler@0.5.0
105513 silly build unzip-response@1.0.1
105514 info linkStuff unzip-response@1.0.1
105515 silly linkStuff unzip-response@1.0.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105516 verbose linkBins unzip-response@1.0.1
105517 verbose linkMans unzip-response@1.0.1
105518 silly build url-parse-lax@1.0.0
105519 info linkStuff url-parse-lax@1.0.0
105520 silly linkStuff url-parse-lax@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105521 verbose linkBins url-parse-lax@1.0.0
105522 verbose linkMans url-parse-lax@1.0.0
105523 silly build url-regex@3.2.0
105524 info linkStuff url-regex@3.2.0
105525 silly linkStuff url-regex@3.2.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105526 verbose linkBins url-regex@3.2.0
105527 verbose linkMans url-regex@3.2.0
105528 silly build user-home@1.1.1
105529 info linkStuff user-home@1.1.1
105530 silly linkStuff user-home@1.1.1 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105531 verbose linkBins user-home@1.1.1
105532 verbose link bins [ { 'user-home': 'cli.js' },
105532 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\.bin',
105532 verbose link bins   false ]
105533 verbose linkMans user-home@1.1.1
105534 silly build utf8@2.1.0
105535 info linkStuff utf8@2.1.0
105536 silly linkStuff utf8@2.1.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105537 verbose linkBins utf8@2.1.0
105538 verbose linkMans utf8@2.1.0
105539 silly build engine.io-parser@1.2.4
105540 info linkStuff engine.io-parser@1.2.4
105541 silly linkStuff engine.io-parser@1.2.4 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105542 verbose linkBins engine.io-parser@1.2.4
105543 verbose linkMans engine.io-parser@1.2.4
105544 silly build util-deprecate@1.0.2
105545 info linkStuff util-deprecate@1.0.2
105546 silly linkStuff util-deprecate@1.0.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105547 verbose linkBins util-deprecate@1.0.2
105548 verbose linkMans util-deprecate@1.0.2
105549 silly build readable-stream@2.0.6
105550 info linkStuff readable-stream@2.0.6
105551 silly linkStuff readable-stream@2.0.6 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105552 verbose linkBins readable-stream@2.0.6
105553 verbose linkMans readable-stream@2.0.6
105554 silly build bl@1.0.3
105555 info linkStuff bl@1.0.3
105556 silly linkStuff bl@1.0.3 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105557 verbose linkBins bl@1.0.3
105558 verbose linkMans bl@1.0.3
105559 silly build concat-stream@1.5.2
105560 info linkStuff concat-stream@1.5.2
105561 silly linkStuff concat-stream@1.5.2 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105562 verbose linkBins concat-stream@1.5.2
105563 verbose linkMans concat-stream@1.5.2
105564 silly build gzip-size@1.0.0
105565 info linkStuff gzip-size@1.0.0
105566 silly linkStuff gzip-size@1.0.0 has E:\WebstormProject\book-forum-yo\node_modules as its parent node_modules
105567 verbose linkBins gzip-size@1.0.0
105568 verbose link bins [ { 'gzip-size': 'cli.js' },
105568 verbose link bins   'E:\\WebstormProject\\book-forum-yo\\node_modules\\.bin',
105568 verbose link bins   false ]
105569 verbose linkMans gzip-size@1.0.0
